TARGET_FID,RF_Number_,RF_Median_,RF_Nationa,RF_Speed_l
532,2,0,1,45
533,2,0,1,45
534,2,0,1,45
535,2,0,1,45
536,2,0,1,45
537,2,0,1,45
538,2,0,1,45
539,2,0,1,25
540,2,0,1,25
541,2,0,1,25
542,2,0,1,25
543,2,0,1,25
544,2,0,1,25
545,2,0,1,25
546,3,0,1,25
547,2,0,1,25
548,2,0,1,25
549,2,0,1,25
550,2,0,1,25
551,3,0,1,25
552,2,0,1,45
554,2,0,1,45
555,2,0,1,45
556,2,0,1,45
558,2,0,1,25
559,2,0,1,25
560,2,0,1,25
561,2,0,1,25
562,2,0,1,25
563,2,0,1,45
565,2,0,1,45
566,2,0,1,25
567,2,0,1,25
568,2,0,1,35
569,2,0,1,25
570,2,0,1,25
571,2,0,1,25
572,2,0,1,45
573,2,0,1,45
574,2,0,1,45
575,2,0,1,45
576,2,0,1,45
577,2,0,1,45
578,2,0,1,25
579,2,0,1,25
581,2,0,1,25
582,2,0,1,45
583,2,0,1,45
584,2,0,1,45
585,2,0,1,45
586,2,0,1,45
588,1,0,1,25
589,1,0,1,25
590,2,0,1,25
591,2,0,1,25
592,2,0,1,25
593,2,0,1,25
594,2,0,1,25
595,2,0,1,45
596,1,0,1,25
597,2,0,1,45
598,2,0,1,45
599,2,0,1,25
600,2,0,1,45
601,2,0,1,25
602,2,0,1,45
603,3,0,1,25
604,2,0,1,25
605,2,0,1,25
606,3,0,1,25
607,2,0,1,25
608,2,0,1,45
609,2,5,2,45
610,2,0,1,45
611,2,0,1,45
612,2,0,1,45
613,2,0,1,45
614,2,0,1,35
615,3,0,2,35
616,3,0,2,35
617,2,0,1,35
618,2,0,1,35
619,2,0,1,35
620,2,0,1,35
621,2,0,1,35
622,2,0,1,25
623,2,0,1,25
624,2,0,1,25
625,2,0,1,25
626,2,0,1,25
627,2,0,1,25
628,2,0,1,25
629,2,0,1,45
630,2,0,1,45
631,2,0,1,45
632,2,0,1,45
633,2,0,1,25
634,2,0,1,25
635,2,0,1,25
636,2,0,1,25
638,2,0,1,25
639,2,0,1,25
640,2,0,1,25
641,2,0,1,25
642,2,0,1,25
643,2,0,1,25
644,2,0,1,25
645,2,0,1,25
646,2,0,1,25
647,3,0,1,25
648,3,0,1,25
649,2,0,1,25
650,2,0,1,25
651,2,0,1,25
652,2,0,1,25
653,2,0,1,45
654,2,0,1,45
655,2,0,1,45
656,2,0,1,45
657,2,0,1,45
658,2,5,4,55
659,2,5,4,55
660,2,0,1,50
661,2,0,1,50
662,2,0,1,50
663,2,0,1,50
664,2,0,1,50
665,2,0,1,50
666,2,0,1,25
667,2,0,1,25
668,2,0,1,25
669,2,0,1,25
670,2,0,1,25
671,2,0,1,25
672,2,0,1,25
673,2,0,1,25
674,2,0,1,25
675,3,0,1,25
676,2,0,1,25
677,2,0,1,25
678,2,0,1,25
679,2,0,1,45
680,2,0,1,25
681,2,0,1,25
682,2,0,1,25
683,2,0,1,25
684,2,0,1,25
685,2,0,1,25
686,2,0,1,25
687,2,0,1,25
688,2,0,1,25
689,2,0,1,25
690,2,0,1,25
691,2,0,1,25
692,2,0,1,25
693,2,0,1,25
694,2,0,1,25
695,2,0,1,25
696,2,0,1,25
697,2,0,1,25
698,2,0,1,25
699,2,0,1,25
700,2,0,1,25
701,2,0,1,25
702,2,0,1,25
703,2,0,1,45
704,2,0,1,45
705,2,0,1,50
706,2,0,1,50
707,2,0,1,50
708,2,0,1,50
709,2,0,1,50
710,2,0,1,50
711,2,0,1,50
712,2,0,1,50
713,2,0,1,50
714,2,0,1,50
715,2,0,1,50
716,2,0,1,50
717,2,0,1,50
718,2,0,1,50
719,2,0,1,50
720,2,0,1,50
721,2,0,1,50
722,2,0,1,50
723,2,0,2,50
724,2,0,1,25
725,2,0,1,25
726,3,0,1,25
727,2,0,1,25
728,3,0,1,25
730,2,0,1,50
731,2,0,1,50
732,2,0,1,50
733,2,0,1,50
734,2,0,1,50
735,2,0,1,55
736,2,0,1,55
737,2,0,1,55
738,2,0,1,45
739,2,0,1,45
740,2,0,1,45
741,2,0,1,45
742,2,0,1,45
743,2,0,1,45
744,2,0,1,45
745,2,0,1,45
746,2,0,1,45
747,2,0,1,45
748,2,0,1,45
749,2,0,1,45
750,2,0,1,45
751,2,0,1,45
752,2,0,1,45
753,2,0,1,45
754,2,0,1,45
755,2,0,1,45
756,2,0,1,45
757,2,0,1,45
758,2,0,1,45
759,2,0,1,45
760,2,0,1,45
761,2,0,1,45
762,2,0,1,45
763,2,0,1,45
765,3,0,1,25
766,2,0,1,25
767,2,0,1,25
768,2,0,1,25
769,2,0,1,25
770,2,0,1,25
771,2,0,1,25
772,2,0,1,25
773,2,0,1,25
774,3,0,1,25
775,2,0,1,25
776,3,0,1,25
777,3,0,1,25
778,3,0,1,25
779,2,0,0,50
780,2,0,1,50
781,2,0,1,50
782,2,0,1,50
783,2,0,1,50
785,2,0,1,25
786,2,0,1,25
787,2,0,1,25
788,2,0,1,50
789,2,5,4,50
790,3,5,4,50
791,2,0,0,50
792,2,0,1,50
793,2,0,1,50
794,2,0,0,50
795,2,0,1,50
796,1,0,1,25
797,3,0,1,25
798,3,0,1,25
799,2,0,1,25
800,2,0,1,25
801,2,0,1,25
802,2,0,1,25
803,2,0,1,45
804,2,0,1,45
805,2,0,1,45
806,2,0,1,45
807,2,0,1,45
808,2,0,1,25
809,2,0,2,50
810,2,0,1,50
811,2,0,1,50
812,2,0,1,50
813,2,0,2,50
814,2,0,1,55
815,2,0,2,50
816,2,0,1,55
817,2,0,1,50
818,2,0,2,45
819,2,0,1,25
820,2,0,1,50
821,2,0,1,50
822,2,0,1,50
823,2,0,2,50
824,2,0,1,25
825,2,0,1,25
826,2,0,1,25
827,2,0,1,25
828,2,0,1,25
829,2,0,1,25
830,2,0,2,50
831,2,5,4,55
832,2,0,4,55
833,2,0,1,55
834,2,5,4,55
835,2,5,4,55
836,2,0,1,25
837,2,0,2,50
838,2,0,2,50
839,2,0,2,50
840,2,1,2,45
841,2,0,2,45
842,2,0,2,45
843,2,0,2,50
844,2,0,2,50
845,2,0,1,50
846,2,0,1,50
847,2,0,2,50
848,2,0,2,50
849,2,0,2,50
850,2,0,1,50
851,2,0,1,50
852,2,0,2,50
853,3,0,1,25
854,2,0,1,45
855,2,0,1,25
856,2,0,2,50
857,2,0,1,25
858,2,0,1,25
859,2,0,1,25
860,2,0,1,25
861,2,0,1,25
862,2,0,1,25
863,2,0,1,25
864,2,0,1,25
865,2,0,1,25
866,2,0,1,25
867,2,0,1,25
868,2,0,1,25
869,2,0,1,25
870,2,0,1,25
871,2,0,1,25
872,2,0,1,25
873,2,0,1,25
874,2,0,1,25
875,2,0,1,25
876,2,5,4,55
877,2,5,4,55
878,2,5,4,55
879,2,5,4,55
880,2,5,4,55
881,2,5,4,55
882,2,0,1,25
883,2,0,1,25
884,2,5,4,45
885,2,5,4,45
886,2,0,1,45
887,2,0,1,45
888,2,0,0,25
889,2,0,0,25
890,2,0,0,25
891,2,0,0,25
892,2,0,0,25
893,2,0,1,25
894,2,0,1,25
895,2,0,1,25
896,2,0,1,25
897,2,0,4,40
898,2,0,1,25
899,2,0,1,25
900,2,0,1,25
901,2,0,1,25
902,2,0,1,25
903,6,0,1,25
904,2,0,1,25
905,2,0,1,25
906,2,0,1,40
907,2,0,1,25
908,2,0,1,25
909,3,0,1,25
910,2,0,1,25
911,2,0,1,25
912,2,0,1,25
913,2,0,1,40
914,2,0,1,25
915,2,0,1,25
916,2,0,1,25
917,2,0,1,25
918,2,0,1,25
919,2,0,1,25
920,2,0,1,25
921,6,0,1,25
922,2,0,1,25
923,2,0,1,25
924,2,0,1,25
925,2,0,2,25
926,2,0,1,25
927,3,0,1,25
928,2,0,1,40
929,2,0,1,25
930,2,0,1,25
931,2,0,1,25
932,3,0,1,25
933,2,0,1,25
934,2,0,1,25
935,2,0,1,25
936,2,0,1,25
937,2,0,1,25
938,2,0,1,25
939,2,0,1,25
940,2,0,1,25
941,2,0,1,25
942,2,0,1,25
943,2,0,1,25
944,2,0,1,25
945,2,0,0,25
946,3,0,1,25
947,3,0,1,25
948,3,0,1,25
949,2,0,1,25
950,4,0,4,45
951,2,0,1,25
952,2,0,1,25
953,2,0,1,25
955,2,0,0,25
956,2,0,4,25
957,2,0,1,25
958,2,0,1,25
959,2,0,1,25
960,2,0,1,25
961,2,0,1,25
962,2,0,1,25
964,2,0,2,55
965,2,0,2,55
976,2,0,2,45
977,2,0,2,55
979,2,5,3,35
985,2,5,4,35
990,2,0,1,25
991,2,0,1,25
992,2,0,1,25
993,2,0,1,25
994,2,0,1,25
995,2,0,1,25
996,2,0,0,25
997,2,0,0,25
998,2,0,0,25
999,2,0,1,25
1000,2,0,1,25
1001,2,0,3,35
1002,2,0,1,25
1003,2,0,1,25
1004,2,0,1,25
1005,2,1,3,35
1006,2,1,3,25
1007,2,0,1,25
1008,2,0,1,25
1009,2,0,1,25
1010,2,0,1,25
1011,2,0,1,25
1012,2,0,1,25
1013,2,0,1,25
1014,2,0,1,25
1015,2,0,1,25
1016,2,0,1,25
1017,2,0,1,25
1018,2,0,1,25
1019,2,0,1,25
1020,2,0,1,25
1021,2,0,1,25
1022,2,0,1,25
1023,2,0,1,25
1024,2,1,2,25
1025,2,0,1,25
1026,2,0,1,25
1027,2,0,1,25
1028,2,0,1,25
1029,2,0,1,25
1030,2,0,1,25
1031,2,0,1,25
1032,2,0,1,25
1033,2,0,1,25
1034,2,0,1,25
1035,2,0,1,25
1036,2,0,1,25
1037,2,0,1,25
1038,2,0,1,25
1039,2,0,1,25
1040,2,0,1,25
1041,2,0,1,25
1042,2,0,1,25
1043,2,0,1,25
1044,2,0,1,25
1045,2,0,1,25
1046,2,0,1,25
1047,2,0,1,25
1048,2,0,1,25
1049,2,0,2,50
1050,2,0,1,50
1051,2,0,2,50
1052,2,1,4,45
1054,2,0,4,45
1055,1,1,4,45
1056,2,1,4,40
1057,2,0,4,40
1058,2,1,4,40
1059,2,0,4,40
1060,2,5,4,25
1061,2,5,4,40
1062,2,0,4,40
1063,2,0,1,25
1064,2,0,1,40
1065,2,0,4,40
1066,2,0,1,40
1067,2,5,4,40
1068,2,5,4,25
1069,2,5,4,40
1070,2,5,4,40
1071,2,5,4,40
1072,2,5,4,45
1073,2,0,1,40
1074,2,5,4,40
1075,2,5,4,25
1076,2,1,4,40
1077,2,0,4,25
1078,2,0,4,40
1079,2,0,4,40
1080,2,5,4,45
1081,2,5,4,45
1082,2,5,4,45
1083,2,5,4,45
1084,4,1,4,45
1085,4,0,4,45
1086,2,0,4,45
1087,4,0,4,45
1088,2,5,4,45
1089,5,0,1,45
1090,5,0,4,45
1091,4,1,4,45
1092,2,5,4,45
1093,2,5,4,45
1094,2,5,4,45
1095,2,5,4,45
1096,2,5,4,45
1099,2,0,1,25
1100,2,0,1,25
1101,2,0,1,25
1102,2,0,1,25
1103,2,0,1,25
1104,2,0,1,25
1105,2,0,1,25
1106,2,0,1,25
1107,2,0,1,25
1110,2,0,0,25
1111,3,0,4,50
1112,2,0,0,25
1113,2,0,0,25
1114,2,0,1,25
1115,2,0,3,25
1116,2,0,1,25
1117,2,0,1,25
1118,2,0,1,25
1119,2,0,1,25
1120,2,0,1,25
1121,2,0,1,25
1122,3,0,1,25
1123,2,0,1,40
1124,2,5,3,40
1125,2,5,3,40
1126,2,0,3,25
1127,2,5,3,35
1128,3,0,3,40
1129,3,5,3,25
1130,2,0,3,40
1131,2,0,3,40
1132,2,5,3,40
1133,2,5,3,40
1134,2,0,3,40
1135,2,0,1,25
1136,2,0,3,35
1137,2,1,3,25
1138,2,5,3,35
1139,2,0,3,35
1140,2,5,3,35
1141,2,5,3,25
1142,2,0,3,35
1143,2,0,3,35
1144,1,0,3,35
1145,2,0,1,25
1146,2,0,1,25
1147,2,0,1,25
1148,2,0,1,25
1149,1,5,4,45
1150,1,0,4,45
1151,2,0,4,25
1152,3,0,4,45
1153,2,5,4,45
1154,2,0,1,40
1155,3,5,4,45
1156,2,5,4,45
1157,2,0,4,50
1158,3,0,4,50
1159,3,0,4,45
1160,2,0,4,50
1161,2,5,4,45
1162,2,5,4,45
1163,2,5,4,45
1164,2,0,4,50
1165,3,1,4,50
1166,3,1,4,50
1167,3,1,4,50
1168,2,0,4,50
1169,4,0,4,60
1170,4,1,4,40
1171,4,0,4,60
1172,2,5,4,45
1173,2,5,4,45
1174,2,0,1,40
1175,2,0,1,25
1176,2,0,1,25
1177,2,0,1,25
1178,2,0,1,25
1179,2,0,1,25
1180,2,0,1,25
1181,2,0,1,50
1182,2,0,1,25
1183,2,0,1,25
1184,2,0,1,50
1185,2,0,1,50
1186,2,0,1,50
