TARGET_FID,Ac_Unpr,E8_Svc,D3A,D3BAO,D5CEI,RF_Number_,RF_Speed_l
39071,216.49664,42,20.6685545,0,0.815992951,2,25
39073,226.0456,13,15.8270726,0,0.848948122,2,25
39074,216.49664,42,20.6685545,0,0.815992951,3,35
39075,216.49664,42,20.6685545,0,0.815992951,3,35
39076,216.49664,42,20.6685545,0,0.815992951,3,35
39077,216.49664,42,20.6685545,0,0.815992951,3,35
39078,216.49664,42,20.6685545,0,0.815992951,2,25
39079,216.49664,42,20.6685545,0,0.815992951,3,35
39080,216.49664,42,20.6685545,0,0.815992951,3,35
39081,216.49664,42,20.6685545,0,0.815992951,3,35
39082,216.49664,42,20.6685545,0,0.815992951,3,35
39083,226.0456,13,15.8270726,0,0.848948122,2,35
39084,141.41491,12,24.48768772,0,0.87348827,2,35
39085,130.84001,26,24.86892167,0,0.850247825,3,35
39086,130.84001,26,24.86892167,0,0.850247825,2,35
39087,141.41491,12,24.48768772,0,0.87348827,2,35
39088,226.0456,13,15.8270726,0,0.848948122,2,35
39089,226.0456,13,15.8270726,0,0.848948122,2,35
39090,226.0456,13,15.8270726,0,0.848948122,2,25
39092,141.41491,12,24.48768772,0,0.87348827,3,35
39093,141.41491,12,24.48768772,0,0.87348827,3,35
39094,130.84001,26,24.86892167,0,0.850247825,3,35
39095,130.84001,26,24.86892167,0,0.850247825,3,35
39096,216.49664,42,20.6685545,0,0.815992951,3,35
39097,141.41491,12,24.48768772,0,0.87348827,2,35
39098,130.84001,26,24.86892167,0,0.850247825,3,35
39099,226.0456,13,15.8270726,0,0.848948122,2,25
39100,226.0456,13,15.8270726,0,0.848948122,2,35
39101,141.41491,12,24.48768772,0,0.87348827,2,25
39102,216.49664,42,20.6685545,0,0.815992951,2,25
39105,141.41491,12,24.48768772,0,0.87348827,2,25
39106,216.49664,42,20.6685545,0,0.815992951,2,25
39107,216.49664,42,20.6685545,0,0.815992951,2,25
39109,141.41491,12,24.48768772,0,0.87348827,2,25
39110,141.41491,12,24.48768772,0,0.87348827,2,25
39111,141.41491,12,24.48768772,0,0.87348827,2,25
39112,141.41491,12,24.48768772,0,0.87348827,2,25
39113,141.41491,12,24.48768772,0,0.87348827,2,25
39114,216.49664,42,20.6685545,0,0.815992951,2,25
39115,141.41491,12,24.48768772,0,0.87348827,2,25
39116,141.41491,12,24.48768772,0,0.87348827,2,25
39117,141.41491,12,24.48768772,0,0.87348827,2,25
