TARGET_FID,Number_of_lanes,"Population,_2018","Households_(occupied_housing_units),_2018","Percent_of_zero-car_households_in_CBG,_2018","Total_employment,_2017"
363,2,4317,1790,0.011731844,2306
364,3,4317,1790,0.011731844,2306
365,3,4317,1790,0.011731844,2306
366,3,4317,1790,0.011731844,2306
367,2,4317,1790,0.011731844,2306
368,3,4317,1790,0.011731844,2306
369,2,4317,1790,0.011731844,2306
370,2,4317,1790,0.011731844,2306
371,1,4317,1790,0.011731844,2306
372,2,4317,1790,0.011731844,2306
373,2,4317,1790,0.011731844,2306
374,2,4317,1790,0.011731844,2306
375,2,4317,1790,0.011731844,2306
376,3,4317,1790,0.011731844,2306
377,3,4317,1790,0.011731844,2306
378,1,4317,1790,0.011731844,2306
379,1,4317,1790,0.011731844,2306
380,2,4317,1790,0.011731844,2306
381,1,4317,1790,0.011731844,2306
382,2,4317,1790,0.011731844,2306
383,2,4317,1790,0.011731844,2306
384,2,4317,1790,0.011731844,2306
385,2,4317,1790,0.011731844,2306
386,3,4317,1790,0.011731844,2306
387,3,4317,1790,0.011731844,2306
388,2,4317,1790,0.011731844,2306
389,3,4317,1790,0.011731844,2306
390,3,4317,1790,0.011731844,2306
391,2,4317,1790,0.011731844,2306
392,2,4317,1790,0.011731844,2306
393,2,4317,1790,0.011731844,2306
394,2,4317,1790,0.011731844,2306
395,3,4317,1790,0.011731844,2306
396,2,4317,1790,0.011731844,2306
397,2,4317,1790,0.011731844,2306
398,2,4317,1790,0.011731844,2306
399,2,4317,1790,0.011731844,2306
400,2,4317,1790,0.011731844,2306
401,2,4317,1790,0.011731844,2306
402,3,4317,1790,0.011731844,2306
403,2,4317,1790,0.011731844,2306
404,2,4317,1790,0.011731844,2306
405,2,4317,1790,0.011731844,2306
406,2,4317,1790,0.011731844,2306
407,2,4317,1790,0.011731844,2306
408,2,4317,1790,0.011731844,2306
409,3,4317,1790,0.011731844,2306
410,2,4317,1790,0.011731844,2306
411,2,4317,1790,0.011731844,2306
412,2,4317,1790,0.011731844,2306
413,2,4317,1790,0.011731844,2306
414,2,4317,1790,0.011731844,2306
415,2,4317,1790,0.011731844,2306
416,2,4317,1790,0.011731844,2306
417,2,4317,1790,0.011731844,2306
418,2,4317,1790,0.011731844,2306
419,2,4317,1790,0.011731844,2306
420,2,4317,1790,0.011731844,2306
421,2,4317,1790,0.011731844,2306
422,2,4317,1790,0.011731844,2306
423,2,4317,1790,0.011731844,2306
424,2,4317,1790,0.011731844,2306
425,2,4317,1790,0.011731844,2306
426,3,4317,1790,0.011731844,2306
427,3,4317,1790,0.011731844,2306
428,2,4317,1790,0.011731844,2306
429,2,4317,1790,0.011731844,2306
430,2,4317,1790,0.011731844,2306
431,2,4317,1790,0.011731844,2306
432,2,4317,1790,0.011731844,2306
433,2,4317,1790,0.011731844,2306
434,3,4317,1790,0.011731844,2306
435,2,4317,1790,0.011731844,2306
436,2,4317,1790,0.011731844,2306
437,2,4317,1790,0.011731844,2306
438,2,4317,1790,0.011731844,2306
439,2,4317,1790,0.011731844,2306
440,2,4317,1790,0.011731844,2306
441,2,4317,1790,0.011731844,2306
442,2,4317,1790,0.011731844,2306
443,2,4317,1790,0.011731844,2306
444,2,4317,1790,0.011731844,2306
445,2,4317,1790,0.011731844,2306
446,2,4317,1790,0.011731844,2306
447,2,4317,1790,0.011731844,2306
448,2,4317,1790,0.011731844,2306
449,2,4317,1790,0.011731844,2306
450,2,4317,1790,0.011731844,2306
451,3,4317,1790,0.011731844,2306
452,2,4317,1790,0.011731844,2306
453,2,4317,1790,0.011731844,2306
454,2,4317,1790,0.011731844,2306
455,2,4317,1790,0.011731844,2306
456,2,4317,1790,0.011731844,2306
457,2,4317,1790,0.011731844,2306
458,2,4317,1790,0.011731844,2306
459,2,4317,1790,0.011731844,2306
460,2,4317,1790,0.011731844,2306
461,2,4317,1790,0.011731844,2306
462,2,4317,1790,0.011731844,2306
463,2,4317,1790,0.011731844,2306
464,2,4317,1790,0.011731844,2306
465,2,4317,1790,0.011731844,2306
466,2,4317,1790,0.011731844,2306
467,2,4317,1790,0.011731844,2306
468,2,4317,1790,0.011731844,2306
469,2,4317,1790,0.011731844,2306
470,2,4317,1790,0.011731844,2306
